TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,dataset,prevalence,seed,model,strategy
3336,264,269,131,0.86675,0.3275,0.9266666666666666,0.6270833333333333,0.33164556962025316,0.32955974842767294,0.7519618055555556,0.24914523953412324,0.5,cardio,0.1,1,hgb,smote
2871,729,156,244,0.77875,0.61,0.7975,0.70375,0.25077081192189105,0.35542607428987616,0.7780472222222222,0.29812651667415996,0.11049696991374038,cardio,0.1,1,hgb,threshold
3080,520,175,225,0.82625,0.5625,0.8555555555555555,0.7090277777777778,0.30201342281879195,0.39301310043668125,0.771451388888889,0.3023977280495705,0.5805973960692391,cardio,0.1,1,hgb,weight+threshold
3567,33,381,19,0.8965,0.0475,0.9908333333333333,0.5191666666666667,0.36538461538461536,0.084070796460177,0.7772708333333334,0.2858999121972647,0.5,cardio,0.1,2,logreg,default
2760,840,135,265,0.75625,0.6625,0.7666666666666667,0.7145833333333333,0.2398190045248869,0.3521594684385382,0.7769124999999999,0.2864930038213718,0.5,cardio,0.1,2,logreg,weight
2732,868,135,265,0.74925,0.6625,0.7588888888888888,0.7106944444444444,0.23389232127096204,0.3457273320287019,0.7751805555555557,0.2807720719865404,0.5,cardio,0.1,2,logreg,undersample
2749,851,138,262,0.75275,0.655,0.7636111111111111,0.7093055555555556,0.23539982030548068,0.34633179114342366,0.7755652777777778,0.28558190818020596,0.5,cardio,0.1,2,logreg,smote
2930,670,155,245,0.79375,0.6125,0.8138888888888889,0.7131944444444445,0.2677595628415301,0.3726235741444867,0.7772708333333334,0.2858999121972647,0.11563246127937267,cardio,0.1,2,logreg,threshold
2847,753,146,254,0.77525,0.635,0.7908333333333334,0.7129166666666666,0.2522343594836147,0.3610518834399432,0.7769124999999999,0.2864930038213718,0.5195639901108173,cardio,0.1,2,logreg,weight+threshold
3541,59,368,32,0.89325,0.08,0.9836111111111111,0.5318055555555555,0.3516483516483517,0.13034623217922608,0.7638802083333335,0.27921674290933746,0.5,cardio,0.1,2,rf,default
3557,43,370,30,0.89675,0.075,0.9880555555555556,0.5315277777777778,0.410958904109589,0.12684989429175475,0.7614006944444445,0.28365825538478895,0.5,cardio,0.1,2,rf,weight
2546,1054,123,277,0.70575,0.6925,0.7072222222222222,0.699861111111111,0.20811419984973703,0.3200462160600809,0.7714628472222222,0.26344464759936637,0.5,cardio,0.1,2,rf,undersample
3263,337,267,133,0.849,0.3325,0.9063888888888889,0.6194444444444445,0.28297872340425534,0.30574712643678165,0.74640625,0.23858461076057064,0.5,cardio,0.1,2,rf,smote
2689,911,135,265,0.7385,0.6625,0.7469444444444444,0.7047222222222222,0.22534013605442177,0.33629441624365486,0.7638802083333335,0.27921674290933746,0.11666666666666667,cardio,0.1,2,rf,threshold
2525,1075,122,278,0.70075,0.695,0.7013888888888888,0.6981944444444443,0.20546932742054694,0.31717056474614946,0.7614006944444445,0.28365825538478895,0.09,cardio,0.1,2,rf,weight+threshold
3583,17,386,14,0.89925,0.035,0.9952777777777778,0.5151388888888889,0.45161290322580644,0.06496519721577727,0.7812746527777779,0.29214746748384746,0.5,cardio,0.1,2,hgb,default
2874,726,147,253,0.78175,0.6325,0.7983333333333333,0.7154166666666666,0.25842696629213485,0.36693255982596085,0.7797135416666666,0.28280455667409354,0.5,cardio,0.1,2,hgb,weight
2593,1007,117,283,0.719,0.7075,0.7202777777777778,0.7138888888888889,0.2193798449612403,0.3349112426035503,0.7645121527777778,0.2537576832273743,0.5,cardio,0.1,2,hgb,undersample
3321,279,283,117,0.8595,0.2925,0.9225,0.6074999999999999,0.29545454545454547,0.2939698492462312,0.7582277777777777,0.24967380990881366,0.5,cardio,0.1,2,hgb,smote
2484,1116,105,295,0.69475,0.7375,0.69,0.71375,0.2090715804394047,0.3257868580894534,0.7812746527777779,0.29214746748384746,0.07756393103131468,cardio,0.1,2,hgb,threshold
2731,869,132,268,0.74975,0.67,0.7586111111111111,0.7143055555555555,0.2357080035180299,0.3487312947299935,0.7797135416666666,0.28280455667409354,0.45804582821187084,cardio,0.1,2,hgb,weight+threshold
3565,35,371,29,0.8985,0.0725,0.9902777777777778,0.5313888888888889,0.453125,0.125,0.7941312499999998,0.30667181804785915,0.5,cardio,0.1,3,logreg,default
2805,795,124,276,0.77025,0.69,0.7791666666666667,0.7345833333333334,0.25770308123249297,0.3752549286199864,0.7941611111111112,0.30453112031369084,0.5,cardio,0.1,3,logreg,weight
2783,817,125,275,0.7645,0.6875,0.7730555555555556,0.7302777777777778,0.2518315018315018,0.3686327077747989,0.7929027777777777,0.3055628884538264,0.5,cardio,0.1,3,logreg,undersample
