TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
2779,1141,28,52,0.70775,0.65,0.7089285714285715,0.6794642857142857,0.04358759430008382,0.08169677926158679,0.742436224489796,0.0538572146124155,0.28204308258897104,0.02,3,hgb,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.8696332908163265,0.13206707851058022,0.5,0.02,4,logreg,default
2935,985,14,66,0.75025,0.825,0.7487244897959183,0.7868622448979592,0.06279733587059944,0.11671087533156499,0.8590019132653062,0.12252074323199404,0.5,0.02,4,logreg,weight
2937,983,12,68,0.75125,0.85,0.749234693877551,0.7996173469387755,0.06470028544243578,0.1202475685234306,0.8613265306122448,0.11383046276527034,0.5,0.02,4,logreg,undersample
2941,979,16,64,0.75125,0.8,0.7502551020408164,0.7751275510204082,0.061361457334611694,0.11398040961709704,0.8615816326530613,0.13300574002339124,0.5,0.02,4,logreg,smote
2922,998,12,68,0.7475,0.85,0.7454081632653061,0.797704081632653,0.06378986866791744,0.11867364746945898,0.8696332908163265,0.13206707851058022,0.021533076730493084,0.02,4,logreg,threshold
2721,1199,9,71,0.698,0.8875,0.6941326530612245,0.7908163265306123,0.05590551181102362,0.10518518518518517,0.8590019132653062,0.12252074323199404,0.42465682715366965,0.02,4,logreg,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7981696428571429,0.0787818213673811,0.5,0.02,4,rf,default
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.8031744260204081,0.0743189754105134,0.5,0.02,4,rf,weight
2789,1131,11,69,0.7145,0.8625,0.7114795918367347,0.7869897959183674,0.0575,0.1078125,0.8412452168367348,0.08904984556987015,0.5,0.02,4,rf,undersample
3907,13,78,2,0.97725,0.025,0.9966836734693878,0.5108418367346939,0.13333333333333333,0.04210526315789474,0.7997927295918367,0.06675922270147039,0.5,0.02,4,rf,smote
2786,1134,20,60,0.7115,0.75,0.7107142857142857,0.7303571428571429,0.05025125628140704,0.09419152276295134,0.7981696428571429,0.0787818213673811,0.016666666666666666,0.02,4,rf,threshold
2810,1110,18,62,0.718,0.775,0.7168367346938775,0.7459183673469387,0.052901023890784986,0.09904153354632589,0.8031744260204081,0.0743189754105134,0.016666666666666666,0.02,4,rf,weight+threshold
3917,3,80,0,0.97925,0.0,0.999234693877551,0.4996173469387755,0.0,0.0,0.8285985331632653,0.07840237914545005,0.5,0.02,4,hgb,default
3287,633,29,51,0.8345,0.6375,0.8385204081632653,0.7380102040816326,0.07456140350877193,0.13350785340314136,0.8290465561224489,0.08174939005113688,0.5,0.02,4,hgb,weight
2862,1058,20,60,0.7305,0.75,0.7301020408163266,0.7400510204081633,0.05366726296958855,0.1001669449081803,0.8103188775510205,0.08386981099368786,0.5,0.02,4,hgb,undersample
3911,9,80,0,0.97775,0.0,0.997704081632653,0.4988520408163265,0.0,0.0,0.820204081632653,0.07149843558327505,0.5,0.02,4,hgb,smote
2722,1198,15,65,0.69675,0.8125,0.6943877551020409,0.7534438775510204,0.05146476642913698,0.09679821295606851,0.8285985331632653,0.07840237914545005,0.013974938226217622,0.02,4,hgb,threshold
2767,1153,14,66,0.70825,0.825,0.7058673469387755,0.7654336734693877,0.054142739950779326,0.10161662817551963,0.8290465561224489,0.08174939005113688,0.2967330045669458,0.02,4,hgb,weight+threshold
3918,2,78,2,0.98,0.025,0.9994897959183674,0.5122448979591837,0.5,0.047619047619047616,0.8163711734693877,0.10396829266454809,0.5,0.02,5,logreg,default
2993,927,20,60,0.76325,0.75,0.7635204081632653,0.7567602040816326,0.060790273556231005,0.11246485473289597,0.8198278061224489,0.09991522273994224,0.5,0.02,5,logreg,weight
2956,964,21,59,0.75375,0.7375,0.7540816326530613,0.7457908163265307,0.05767350928641251,0.10698096101541252,0.811798469387755,0.08448209384467749,0.5,0.02,5,logreg,undersample
3011,909,23,57,0.767,0.7125,0.7681122448979592,0.7403061224489795,0.059006211180124224,0.10898661567877628,0.7979910714285715,0.09776267073338983,0.5,0.02,5,logreg,smote
3056,864,24,56,0.778,0.7,0.7795918367346939,0.7397959183673469,0.06086956521739131,0.11200000000000002,0.8163711734693877,0.10396829266454809,0.02314631674952431,0.02,5,logreg,threshold
2954,966,17,63,0.75425,0.7875,0.7535714285714286,0.7705357142857143,0.061224489795918366,0.11361587015329125,0.8198278061224489,0.09991522273994224,0.4839781644258019,0.02,5,logreg,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7953204719387755,0.08275800809173547,0.5,0.02,5,rf,default
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.801654974489796,0.07776626748326657,0.5,0.02,5,rf,weight
2805,1115,19,61,0.7165,0.7625,0.7155612244897959,0.739030612244898,0.05187074829931973,0.09713375796178345,0.8000334821428572,0.0874428430120727,0.5,0.02,5,rf,undersample
3905,15,78,2,0.97675,0.025,0.9961734693877551,0.5105867346938775,0.11764705882352941,0.041237113402061855,0.8085331632653061,0.07946877397980612,0.5,0.02,5,rf,smote
3210,710,31,49,0.81475,0.6125,0.8188775510204082,0.7156887755102042,0.06455862977602109,0.11680572109654352,0.7953204719387755,0.08275800809173547,0.03333333333333333,0.02,5,rf,threshold
